,LOR,year,bike_theft_count
924,12400616,2022,1
925,12400617,2022,1
926,12400617,2023,1
927,12400618,2022,1
928,12400619,2022,1
929,12400619,2023,1
930,12400720,2022,1
931,12400720,2023,1
932,12400721,2022,1
933,12400721,2023,1
934,12400722,2022,1
935,12400722,2023,1
936,12400723,2022,1
937,12400723,2023,1
938,12500824,2022,1
939,12500824,2023,1
940,12500825,2022,1
941,12500825,2023,1
942,12500926,2022,1
943,12500926,2023,1
944,12500927,2022,1
945,12500927,2023,1
946,12500928,2022,1
947,12500928,2023,1
948,12500929,2022,1
949,12500929,2023,1
950,12500930,2022,1
951,12601031,2022,1
952,12601032,2022,1
953,12601032,2023,1
954,12601133,2022,1
955,12601133,2023,1
956,12601134,2022,1
957,12601134,2023,1
958,12601235,2022,1
959,12601236,2022,1
